title,body,milestone,labels,assignee,estimate,priority,due_date,state
"Setup Development Environment","Configure complete development environment for AI studies. Install Python 3.11+ and Anaconda, configure Jupyter, install essential libraries, setup Git and VS Code.","MILESTONE 1: Fundamentals and Mathematics","setup,environment,week-1",@you,4,High,2025-06-27,open
"Linear Algebra Fundamentals","Master fundamental linear algebra concepts. Study vectors, matrices, determinants, eigenvalues and implement operations in Python.","MILESTONE 1: Fundamentals and Mathematics","mathematics,linear-algebra,week-1",@you,8,High,2025-06-27,open
"Implement Matrix Calculator","Create complete matrix operations calculator from scratch with unit tests and documentation.","MILESTONE 1: Fundamentals and Mathematics","project,linear-algebra,week-1",@you,6,Medium,2025-06-27,open
"Calculus Fundamentals for AI","Study essential calculus concepts for machine learning. Derivatives, gradients and numerical implementation.","MILESTONE 1: Fundamentals and Mathematics","mathematics,calculus,week-2",@you,8,High,2025-07-04,open
"Implement Gradient Descent","Implement gradient descent algorithm from scratch with momentum and visualizations.","MILESTONE 1: Fundamentals and Mathematics","project,optimization,week-2",@you,10,High,2025-07-04,open
"Project - Function Optimizer","Create interactive tool for mathematical function optimization with web interface.","MILESTONE 1: Fundamentals and Mathematics","project,optimization,week-2",@you,8,Medium,2025-07-04,open
"Statistics Fundamentals","Master fundamental statistical concepts. Distributions, Bayes Theorem, hypothesis testing.","MILESTONE 1: Fundamentals and Mathematics","mathematics,statistics,week-3",@you,10,High,2025-07-11,open
"Exploratory Data Analysis (EDA)","Perform complete exploratory analysis of real dataset with visualizations and insights.","MILESTONE 1: Fundamentals and Mathematics","data-analysis,eda,week-3",@you,8,High,2025-07-11,open
"Statistical Analysis Dashboard","Create interactive dashboard for statistical data analysis with Plotly Dash.","MILESTONE 1: Fundamentals and Mathematics","project,dashboard,week-3",@you,12,Medium,2025-07-11,open
"Advanced Python and OOP","Master advanced Python concepts. OOP, decorators, generators, type hints.","MILESTONE 1: Fundamentals and Mathematics","programming,python,week-4",@you,8,High,2025-07-18,open
"Master NumPy and Pandas","Achieve advanced proficiency in NumPy and Pandas with vectorized operations and optimization.","MILESTONE 1: Fundamentals and Mathematics","programming,numpy,pandas,week-4",@you,10,High,2025-07-18,open
"Personal ML Utilities Library","Create reusable Python library with ML utilities and publish to PyPI.","MILESTONE 1: Fundamentals and Mathematics","project,library,week-4",@you,12,Medium,2025-07-18,open
"AI History and Fundamentals","Understand AI history, types and paradigms. Ethics and social impact.","MILESTONE 1: Fundamentals and Mathematics","theory,ai-fundamentals,week-5",@you,6,Medium,2025-07-25,open
"Search and Optimization Algorithms","Implement BFS, DFS, A*, genetic algorithms and compare performance.","MILESTONE 1: Fundamentals and Mathematics","algorithms,search,week-5",@you,10,High,2025-07-25,open
"AI Maze Solver","Create application that solves mazes using different AI algorithms.","MILESTONE 1: Fundamentals and Mathematics","project,pathfinding,week-5",@you,8,Medium,2025-07-25,open
"Implement Decision Tree from Scratch","Implement complete decision tree algorithm without libraries.","MILESTONE 1: Fundamentals and Mathematics","algorithms,decision-tree,week-6",@you,12,High,2025-08-01,open
"Simple Recommendation System","Create recommendation system using decision trees and rules.","MILESTONE 1: Fundamentals and Mathematics","project,recommendation,week-6",@you,10,Medium,2025-08-01,open
"Fuzzy Logic and Expert Systems","Implement fuzzy logic system and expert rules.","MILESTONE 1: Fundamentals and Mathematics","logic,fuzzy,week-6",@you,8,Low,2025-08-01,open
"Automated Preprocessing Pipeline","Create automated pipeline for data cleaning and preparation.","MILESTONE 1: Fundamentals and Mathematics","data-preprocessing,pipeline,week-7",@you,12,High,2025-08-08,open
"Creative Feature Engineering","Explore advanced feature creation techniques with importance validation.","MILESTONE 1: Fundamentals and Mathematics","feature-engineering,creativity,week-7",@you,8,Medium,2025-08-08,open
"Anomaly Detection","Implement multiple anomaly detection algorithms and compare methods.","MILESTONE 1: Fundamentals and Mathematics","anomaly-detection,unsupervised,week-7",@you,10,Medium,2025-08-08,open
"Interactive Dashboards with Plotly","Create advanced interactive dashboards for data analysis.","MILESTONE 1: Fundamentals and Mathematics","visualization,dashboard,week-8",@you,10,High,2025-08-15,open
"Data Storytelling","Develop data communication and narrative skills.","MILESTONE 1: Fundamentals and Mathematics","storytelling,communication,week-8",@you,8,Medium,2025-08-15,open
